Name,URL,Category,Note,AI/ML
Github repo -Siddarth_100x,https://github.com/Siddhant-Goswami/100x-LLM/blob/main/prompts/AI_CONSULTANT.xml,Learning,AI resources,Yes
Firebase Studio,https://firebase.google.com/,Coding,Mobile/ web app developement,Yes
Kaedim,https://www.kaedim3d.com/,3D design,AI for 3D asset creating and scaling,Yes
Fireflies AI,https://fireflies.ai/,Meetings,Transcribing and summarising,Yes
Writesonic,https://writesonic.com/,Marketing,Tracking for AI citing and ranking,Yes
Numerous AI,https://numerous.ai/,Office,AI for spreadsheets,Yes
Stitch,https://stitch.withgoogle.com/,UI/UX Design,GAI for UI screen generation,Yes
Mistral,https://mistral.ai/,General,General AI,Yes
"HunyuanImage ",https://hunyuan-image.com/,Graphic Design/ Visual,Image generation,Yes
Durable,https://durable.co/,Web design,Website builder,Yes
Podcastle,https://podcastle.ai/,Video & Editing,Longform video and audio generation and editing,Yes
Krisp,https://krisp.ai/,Meetings,Meeting noise cancellation,Yes
Opus,https://www.opus.pro/,Video & Editing,Repurpose long format videos,Yes
Predis,https://predis.ai/,Graphic Design/ Visual,Ad Generation,Yes
Invideo ai,https://invideo.io/,Video & Editing,Video generation & cloning,Yes
Playform.io,https://www.playform.io/,Graphic Design/ Visual,Ai for art generation,Yes
Promptify Ai,https://promptify.ai/,Prompts for AI,Find good prompts,Yes
Qwen,https://chat.qwen.ai/,Graphic Design/ Visual,Image Generation,Yes
"Pitch ",https://pitch.com/,Presentation,"Presentation design, has Ai capabilities",Yes
Kuse Ai,https://app.kuse.ai/project,AI Agent,Multimodal AI that handles many different type of files and outputs,Yes
Langflow,https://www.langflow.org/,RAG System,Creating RAG system,Yes
Llama Cloud,https://cloud.llamaindex.ai/,RAG System,"Space for creating rag systems, phrasing, indexing and extracting knowledge bases",Yes
Dovetail,https://dovetail.com/,Product Design,"Customer data, compiling data, document analysis etc",Yes
N8N,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChsSEwiiuaf5kIWPAxXyp2YCHaS3An4YACICCAEQABoCc20&co=1&ase=2&gclid=Cj0KCQjwzOvEBhDVARIsADHfJJTL51c5l3333DFn6nGeWMSC13fuUJcz92LQvnF9FSmnDZylQM6qz2oaAh8WEALw_wcB&ohost=www.google.com&cid=CAESVeD25bczk_bNyrN4uc4STyaJ0A6GykEz8YhDSuqlUbV5wVxDcM7jqlhAisL6sIbhczSGnwByOhcJsL9gjlAMkFyabBqVM_j_jnu98hZr6fR8Wu9keEM&category=acrcp_v1_40&sig=AOD64_2v5i5AdZMLsYCefs2RtTSrPnI2TQ&q&nis=4&adurl&ved=2ahUKEwiBt6H5kIWPAxW-4zgGHRPNF-IQ0Qx6BAgJEAE,Automation,Multiagent automation with AI+ 350+ app support,Yes
Weavy Ai,https://www.weavy.ai/,Graphic Design/ Visual,node based generative design,Yes
Visily,https://www.visily.ai/,UI/UX Design,"AI powered Ui design ",Yes
Opal,https://opal.withgoogle.com/landing/,AI Agent,Building apps with a visual vibe code interface,Yes
Superbase,https://supabase.com/,Coding,Development  platform database etc..,Yes
Replit,https://replit.com/~,Coding,Code with AI,Yes
Magic Eraser,https://magicstudio.com/magiceraser/,Graphic Design/ Visual,"Remove unwanted objects, people, text from images",Yes
Magicpath,https://www.magicpath.ai/,UI/UX Design,UI generation with  codebase,Yes
Subframe,https://www.subframe.com/,UI/UX Design,Vibe designing,Yes
Grok AI,https://x.ai/grok,General,AI for deep research,Yes
Hugging face,https://huggingface.co/,General,"A hub for opensource models, pre-trained models, datasets, and tools ",Yes
Notebook LM,https://notebooklm.google/,General,"Summary generation, contextual chat, voice clips etc..",Yes
Nvidia AI apps,https://build.nvidia.com/explore/visual-design,Graphic Design/ Visual,Visual generation models from Nvidia,Yes
Nvidia AI playground,https://www.nvidia.com/en-in/research/ai-playground/,General,"AI apps, reads and more from Nvidia",Yes
Botpress,https://botpress.com/,AI Agent,Building Ai Agents,Yes
Jasper,https://www.jasper.ai/,Content Writing,AI built for marketing,Yes
Cursor,https://www.cursor.com/,Coding,AI Code editor,Yes
Krea AI,https://www.krea.ai/,Graphic Design/ Visual,"AI Generation for images, videos etc",Yes
Emergent,https://app.emergent.sh/,Coding,Vibe coding platform,Yes
Manus,https://manus.im/guest,General,General AI,Yes
Claude AI,https://claude.ai/new,General,Multimodal AI,Yes
Kirkey Ai,https://www.krikey.ai/,Motion Design,Animation generation with AI,Yes
Flora Ai,https://www.florafauna.ai/,Graphic Design/ Visual,Node based generative design with multiple models,Yes
Adobe firefly,https://firefly.adobe.com/,Graphic Design/ Visual,Image generation,Yes
Higgsfield AI,https://higgsfield.ai/,VFX,Gen AI for VFX,Yes
Backflip Ai,https://www.backflip.ai/,3D design,Gen AI & 3D scan,Yes
Anything World,https://anything.world/,3D design,Gen AI Meshes and Rigging,Yes
Meshy AI,https://www.meshy.ai/,3D design,Gen Ai for 3d meshes,Yes
Mochi 1,https://mochi1ai.com/,Video & Editing,Gen Ai for video generation,Yes
Perplexity AI,https://www.perplexity.ai/,General,AI search,Yes
Genmo Mochi 1,https://www.genmo.ai/,Graphic Design/ Visual,Video Generation,Yes
Fotor,https://www.fotor.com/,Graphic Design/ Visual,Graphic design tool with AI built into it,Yes
Lovable,https://lovable.dev/,Vibe Coding,Gen Ai for Ui development,Yes
Galileo Ai,https://www.usegalileo.ai/explore,UI/UX Design,Ai for UI generation,Yes
Kling AI,https://klingai.com/global/,Graphic Design/ Visual,Video Generation,Yes
Napkin AI,Napkin.ai,Graphic Design/ Visual,Infographics creation,Yes
Leonardo AI,https://app.leonardo.ai/,Graphic Design/ Visual,,Yes
Relume,https://www.relume.io/,Web design,AI for webdesign,Yes
Freepik,https://www.freepik.com/,Design Assets,,Yes
Gradient.supply,https://grainient.supply/,Design Assets,Gradients& AI backgrounds,Yes
Banani,https://www.banani.co/,UI/UX Design,UI/ UX designs from text,Yes
Coolors,https://coolors.co/,Graphic Design/ Visual,Colors generation,Yes
Khroma,https://www.khroma.co/,Graphic Design/ Visual,Ai color generator,Yes
Huemint,https://huemint.com/,Graphic Design/ Visual,Color palette generation,Yes
UIzard,https://uizard.io/,UI/UX Design,UI generation,Yes
Lets enhance,https://letsenhance.io/,Graphic Design/ Visual,Enhance visual quality of images,Yes
"Fiki ",https://fliki.ai/,Video & Editing,Video Geneartion,Yes
V0,https://v0.dev/,Coding,Vibe coding,Yes
Prebblely,https://pebblely.com/,Art Direction,Product photography,Yes
"SeeDream 4 ",https://seed.bytedance.com/en/seedream4_0,Graphic Design/ Visual,Image Generation AI,Yes
SeeDream 4- India,https://flux-ai.io/seedream-4-0/,Graphic Design/ Visual,Image Generation,Yes
Whimsical,https://whimsical.com/,Office,All in one workspace,Yes
Sora,https://sora.chatgpt.com/,Video & Editing,Video Genration,Yes
Google AI studio,https://aistudio.google.com/prompts/new_chat,General,"Reasoning model, image generation, OCR, vision… with googles tools like flash, nano banana, veo and more",Yes
Runway ML,https://app.runwayml.com/,Video & Editing,Video Generation,Yes
LTX studio,https://app.ltx.studio/,Video & Editing,Video Generation,Yes
"Ideogram ",https://ideogram.ai/t/explore,Graphic Design/ Visual,Image and graphic generation,Yes
Kittl AI,https://www.kittl.com/features/ai,Graaphic Design,Yes

